id,name,pdf_url
26307461,الحرب والسلم (الكتاب الأول): إلياذة العصور الحديثة,https://www.hindawi.org/books/26307461.pdf
58625908,اختفاء فودري: سر الأب براون (٣٨),https://www.hindawi.org/books/58625908.pdf
93638206,دراسات في التكامل النفسي,https://www.hindawi.org/books/93638206.pdf
26363024,الممثلون وحجة الغياب: سر الأب براون (٣٧),https://www.hindawi.org/books/26363024.pdf
84031590,أوبرا ماهاجوني,https://www.hindawi.org/books/84031590.pdf
19151364,أغنية الأسماك الطائرة : سر الأب براون (٣٦),https://www.hindawi.org/books/19151364.pdf
84739682,القديم والحديث,https://www.hindawi.org/books/84739682.pdf
83161391,ذو اللحيتَين: سر الأب براون (٣٥),https://www.hindawi.org/books/83161391.pdf
69242084,نشأة الفلسفة العلمية,https://www.hindawi.org/books/69242084.pdf
70613507,مرآة القاضي: سر الأب براون (٣٤),https://www.hindawi.org/books/70613507.pdf
36250381,تاسو,https://www.hindawi.org/books/36250381.pdf
29570209,سر الأب براون: سر الأب براون (٣٣),https://www.hindawi.org/books/29570209.pdf
57138360,رحلة سمو الأمير الجليل محمد علي إلى جاوة,https://www.hindawi.org/books/57138360.pdf
95817026,شبح جديون وايز: شكُّ الأب براون (٣٢),https://www.hindawi.org/books/95817026.pdf
49271737,أفكار ورجال: قصة الفكر الغربي,https://www.hindawi.org/books/49271737.pdf
61837485,مصير آل دارناواي: شكُّ الأب براون (٣١),https://www.hindawi.org/books/61837485.pdf
86350571,مصر في مطلع القرن التاسع عشر  ١٨٠١–١٨١١م (الجزء الأول),https://www.hindawi.org/books/86350571.pdf
27496828,الخنجر المجنح: شكُّ الأب براون (٣٠),https://www.hindawi.org/books/27496828.pdf
74946286,الأعداد وبناء الإنسان: العد ومسار الحضارات الإنسانية,https://www.hindawi.org/books/74946286.pdf
61863515,هربرت ماركيوز,https://www.hindawi.org/books/61863515.pdf
63708405,عشرون قصة من روائع شكسبير,https://www.hindawi.org/books/63708405.pdf
64830814,سيكولوجية الجنس,https://www.hindawi.org/books/64830814.pdf
